fraud_YN,car_model,sharing_type,age_group,has_previous_accident,cumulative_use_count,b2b,accident_ratio,pf_type,socarpass,socarsave,start_hour,duration,accident_hour,repair_cost,insure_cost,accident_location,car_part1,car_part2,repair_cnt,acc_type1,insurance_site_aid_YN,police_site_aid_YN,total_prsn_cnt,test_set
0,2,0,2,0,3,0,100,1,0,0,6,1,6,233148.2451,936000,4,0,1,1,1,1,1,3,0
0,3,0,2,0,4,0,100,1,0,0,6,1,2,726477.5563,5500000,2,0,0,1,1,1,1,1,1
1,2,1,5,0,4,0,100,3,1,0,2,3,2,0,4192150,0,0,0,1,2,1,1,2,0
0,2,0,1,0,4,0,100,3,0,0,5,1,5,900500.2483,7208340,3,1,0,1,0,0,0,-1,0
0,1,0,3,0,4,0,100,2,0,0,3,3,2,395711.0204,0,1,0,0,1,0,0,0,-1,0
0,1,0,3,1,4,0,100,1,0,0,1,4,1,0,2754540,3,0,0,1,0,0,0,-1,0
0,1,0,3,1,4,0,90,1,0,0,2,3,3,867033.8609,7925490,0,0,0,0,1,1,1,0,0
0,5,0,3,1,4,0,100,1,1,0,4,2,5,0,2064780,1,1,0,1,1,2,1,0,0
0,1,0,3,0,2,0,100,1,0,0,4,5,5,367585.2139,0,1,0,0,2,0,0,0,-1,0
0,2,0,2,0,2,0,100,2,0,0,4,1,6,114157.6613,840680,1,0,0,1,0,0,0,-1,0
0,2,0,1,0,2,0,100,2,0,0,5,5,5,273138.7803,0,1,0,0,1,0,0,0,-1,0
0,2,0,1,0,2,0,0,3,0,1,1,5,1,170843.6638,0,1,0,1,1,1,1,1,1,0
0,1,0,3,0,4,0,100,1,0,0,5,2,6,299405.0309,300000,0,0,1,1,1,1,1,3,0
0,1,0,1,0,3,0,100,2,0,0,5,2,6,0,0,1,0,1,2,1,1,1,1,0
0,1,0,2,0,4,0,0,2,1,0,2,3,2,0,0,1,0,1,1,1,2,1,1,0
0,2,0,3,0,2,0,100,1,0,0,4,2,6,0,0,1,1,0,1,0,0,0,-1,0
0,2,0,3,1,3,0,100,1,1,1,1,3,4,0,0,1,0,0,2,0,0,0,-1,0
0,2,0,4,0,4,0,100,3,1,0,5,3,5,454733.7344,0,4,0,0,2,0,0,0,-1,0
0,2,0,4,0,4,0,0,3,1,0,6,2,6,0,0,1,0,1,1,1,1,1,1,0
0,2,1,2,0,1,0,100,2,0,0,4,3,5,557126.185,1280000,0,1,0,2,0,0,0,-1,0
0,1,0,2,0,2,0,100,1,0,0,6,1,6,846814.624,300000,1,0,0,5,0,0,0,-1,0
0,2,0,4,0,4,0,100,1,0,0,4,2,4,0,450000,0,0,1,1,0,0,0,-1,1
0,2,0,4,0,4,0,100,2,0,0,4,1,5,786973.5273,0,2,0,0,1,0,0,0,-1,0
0,1,0,1,0,1,0,40,2,0,0,3,3,1,2604796.416,9937090,1,1,0,1,1,1,1,0,0
0,1,0,2,0,1,0,0,2,0,0,4,3,5,0,0,2,0,0,1,0,0,0,-1,0
0,2,0,3,0,2,0,100,2,0,0,5,4,2,258912.1079,0,0,0,0,1,0,0,0,-1,0
